Date,Close,High,Low,Open,Volume
2025-01-02,8.082537651062012,8.200996595049343,8.064313666068736,8.200996595049343,139800
2025-01-03,7.9640793800354,8.128099603878852,7.945855393502207,8.109874748336717,188400
2025-01-06,8.155434608459473,8.22833228000926,8.02786411775174,8.064312953526633,181100
2025-01-07,8.255671501159668,8.328569189862309,8.210110228468267,8.210110228468267,139300
2025-01-08,8.091649055480957,8.30122963596666,8.091649055480957,8.292118079125931,202900
2025-01-09,8.16454792022705,8.228333172499415,8.100762667954685,8.100762667954685,59300
2025-01-10,8.055200576782227,8.246557183027372,8.055200576782227,8.246557183027372,97100
2025-01-13,8.16454792022705,8.182771905586774,8.07342538640177,8.091650240770381,76800
2025-01-14,8.091649055480957,8.155434298409865,8.064312646941248,8.155434298409865,57100
2025-01-15,8.346792221069336,8.419689901418588,8.091650339846957,8.091650339846957,206200
2025-01-16,8.337679862976074,8.419689971301889,8.310343449870437,8.328568304613464,111800
2025-01-17,8.36501693725586,8.428802189253858,8.319455670539197,8.374128495392085,78800
2025-01-20,8.483476638793945,8.510813053655422,8.32856883956398,8.383241669286932,98000
2025-01-21,8.483476638793945,8.501700625698609,8.437915368018844,8.483476638793945,77900
2025-01-22,8.510810852050781,8.538147259840786,8.437913185271613,8.492586000851622,69800
2025-01-23,8.483476638793945,8.601934726196662,8.474364210837132,8.510813053655422,99900
2025-01-24,8.474364280700684,8.519925551851395,8.447027865613844,8.492588267755588,63600
2025-01-27,8.61104679107666,8.674832915075902,8.319456060825008,8.437915012241973,181800
2025-01-28,8.601934432983398,8.693056971427515,8.547261605124072,8.611046860629596,77000
2025-01-29,8.61104679107666,8.72039331492103,8.592822804940393,8.61104679107666,41400
2025-01-30,8.784178733825684,8.83885155685489,8.611046099879204,8.611046099879204,84400
2025-01-31,8.765954971313477,8.875301499992,8.756842543338026,8.784179827264378,54800
2025-02-03,8.656607627868652,8.765954146255401,8.629271215524184,8.765954146255401,98100
2025-02-04,8.61104679107666,8.729505742493625,8.61104679107666,8.665720487503307,255700
2025-02-05,8.756841659545898,8.82062777992742,8.61104630268906,8.61104630268906,261100
2025-02-06,8.756841659545898,8.81151535287165,8.556373478372183,8.747730101499002,348600
2025-02-07,8.775067329406738,8.838852586709002,8.729506058901285,8.820628599912194,354100
2025-02-10,8.761617660522461,8.843248008459673,8.716267563780551,8.743477969429243,106995
2025-02-11,8.961156845092773,9.015576781955241,8.86138681601012,8.915806752872587,296272
2025-02-12,8.679987907409668,8.943017791330632,8.679987907409668,8.943017791330632,341984
2025-02-13,8.7706880569458,8.78882774917835,8.643707604291183,8.679987857765207,116138
2025-02-14,9.03371810913086,9.04278882442652,8.78882791434466,8.78882791434466,156927
2025-02-17,9.224187850952148,9.233257696741106,9.051857304926397,9.051857304926397,170489
2025-02-18,9.087213516235352,9.213155817157174,9.009710703961368,9.213155817157174,143500
2025-02-19,9.000021934509277,9.087212822639122,8.980646694872828,9.087212822639122,141900
2025-02-20,9.009710311889648,9.087213120790976,8.932207502988321,9.087213120790976,73300
2025-02-21,8.912832260131836,9.019399326316798,8.89345701785686,9.009711243226082,149500
2025-02-24,8.864391326904297,9.058149261580528,8.854704169295529,9.00970977791147,75900
2025-02-25,8.990334510803223,9.00002259328375,8.874080292756082,8.874080292756082,74100
2025-02-26,8.94189453125,9.019398262931597,8.903143127362375,8.990334017086118,88700
